icon_code	icon_description	season	activity_prompt
01d	clear sky	fall	taking a stroll in a wool sweater
01d	clear sky	fall	building a small scarecrow
01d	clear sky	fall	holding a basket of just-picked apples
01d	clear sky	fall	wearing a small flannel shirt
01d	clear sky	fall	playing picnic with mini apple items
01d	clear sky	fall	enjoying a hayride in a miniature wagon
01d	clear sky	fall	painting landscapes with rich autumn hues
01d	clear sky	fall	learning to juggle tiny apples
01d	clear sky	fall	playing catch with a small, round gourd
01d	clear sky	winter	building a tiny snowman
01d	clear sky	winter	slipping on a patch of ice
01d	clear sky	winter	catching a snowflake on its tongue
01d	clear sky	winter	bundled up in a scarf
01d	clear sky	winter	throwing a small snowball
01d	clear sky	winter	ice skating on a frozen puddle
01d	clear sky	winter	sipping on a cup of hot cocoa
01d	clear sky	winter	putting on a pair of snowshoes
01d	clear sky	winter	wearing a reindeer antler headband
01d	clear sky	winter	planting a tiny winter garden
01d	clear sky	winter	creating snow angels
01d	clear sky	winter	tasting an icicle
01d	clear sky	winter	marveling at a snowflake
01d	clear sky	winter	laying wrapped in a snowflake-patterned blanket
01d	clear sky	winter	carving a simple ice sculpture
01d	clear sky	winter	catching a falling snowflake
01d	clear sky	winter	wearing earmuffs
01d	clear sky	winter	gazing at a northern star
01d	clear sky	winter	cozied up next to a small campfire
01d	clear sky	winter	jumping into a pile of snow
01d	clear sky	winter	sliding down a gentle hill
01d	clear sky	winter	sporting a fluffy winter coat
01d	clear sky	winter	trying to pull out a frozen tree stick
01d	clear sky	winter	chasing its shadow on the snow
01d	clear sky	winter	sledging using a leaf
01d	clear sky	winter	holding a cup of steaming tea
01d	clear sky	winter	standing under a mistletoe
01d	clear sky	winter	playing with frost on a window pane
01d	clear sky	winter	pulling a sled with a toy on it
01d	clear sky	winter	skipping on a pathway cleared from snow
01d	clear sky	winter	hanging tiny icicles on a tree branch
01d	clear sky	winter	tandem ski-jumping with a snowman
01d	clear sky	winter	enjoying a snow day
01d	clear sky	winter	blowing a snowflake from its palm
01d	clear sky	winter	tasting a candy cane
01d	clear sky	winter	making a snow fort
01d	clear sky	winter	trying to catch a snowball
01d	clear sky	winter	wearing a snuggly winter hat
01d	clear sky	winter	peering out of a snow igloo
01d	clear sky	winter	breathtaking at the sight of aurora borealis
01d	clear sky	winter	snowboarding on a smooth plain
01d	clear sky	winter	warming its hands over a candle
01d	clear sky	winter	wearing woolen socks
01d	clear sky	winter	walking gingerly on a frosty pathway
01d	clear sky	winter	holding a marshmallow on a stick over a tiny fire
01d	clear sky	winter	making a tiny snow-__ANIMAL__
01d	clear sky	winter	taking a nap under a snowy tree
01d	clear sky	winter	balancing an icicle on its nose
01d	clear sky	winter	gazing at its reflection on a frozen lake
01d	clear sky	winter	dancing under falling snowflakes
02d	few clouds	spring	jumping rope in a sunny patch
02d	few clouds	spring	hopping through a field of clovers
02d	few clouds	spring	flying a colorful kite in the light breeze
02d	few clouds	spring	skipping stones on a still pond
02d	few clouds	spring	having a picnic on a checkered blanket
02d	few clouds	spring	looking for four-leaf clovers
02d	few clouds	spring	chasing a fluttering butterfly
02d	few clouds	spring	climbing up a small hill
02d	few clouds	spring	blowing a dandelion clock
02d	few clouds	spring	playing fetch with a small ball
02d	few clouds	spring	reading a book under a cloud
02d	few clouds	spring	gardening and planting spring flowers
02d	few clouds	spring	riding a small bicycle down a path
02d	few clouds	spring	drawing with sidewalk chalk
02d	few clouds	spring	doing a handspring on soft grass
02d	few clouds	spring	picking a bunch of tulips
02d	few clouds	spring	practicing yoga poses on a mat
02d	few clouds	spring	skateboarding on a smooth concrete
02d	few clouds	spring	dancing and twirling around
02d	few clouds	spring	playing a harmonica sitting on a bench
02d	few clouds	spring	walking a small dog on a leash
02d	few clouds	spring	having a tea party with stuffed animal friends
02d	few clouds	spring	swinging on a swing set
02d	few clouds	spring	doing cartwheels in the park
02d	few clouds	spring	daydreaming and cloud-watching
02d	few clouds	spring	making a daisy chain
02d	few clouds	spring	playing hide-and-seek with friends
02d	few clouds	spring	singing into a hairbrush microphone
02d	few clouds	spring	painting a picture of a spring landscape
02d	few clouds	spring	building a small wooden birdhouse
02d	few clouds	spring	hatching an egg in a small nest
02d	few clouds	spring	catching raindrops on a leaf
02d	few clouds	spring	doing a fun magic trick with a hat and a rabbit
02d	few clouds	spring	trying to catch the sun's reflection in a puddle
02d	few clouds	spring	eating an ice cream cone
02d	few clouds	spring	playing hopscotch drawn with chalk
02d	few clouds	spring	running with a paper airplane
02d	few clouds	spring	juggling three small balls
02d	few clouds	spring	observing a bird through binoculars
02d	few clouds	spring	making soap bubbles in the park
02d	few clouds	spring	using a magnifying glass to inspect a bug
02d	few clouds	spring	doing a puppet show with sock puppets
02d	few clouds	spring	practicing ballet steps in a tutu
02d	few clouds	spring	running a lemonade stand
02d	few clouds	spring	sitting and fishing by a lake
02d	few clouds	spring	playing a game of frisbee
02d	few clouds	spring	rolling down a hill laughing
02d	few clouds	spring	hula hooping in the garden
02d	few clouds	spring	making and wearing a flower crown
02d	few clouds	spring	hanging laundry on a clothesline
02d	few clouds	summer	enjoying a popsicle under the sun
02d	few clouds	summer	taking a walk with a leaf hat
02d	few clouds	summer	riding a skateboard on a summer day
02d	few clouds	summer	sipping an ice-cold lemonade
02d	few clouds	summer	catching fireflies in a glass jar
02d	few clouds	summer	having a picnic with summer fruits
02d	few clouds	summer	painting a sunflower on a canvas
02d	few clouds	summer	baking under the sun to dry off mud from a puddle
02d	few clouds	summer	jumping on a bouncy ball
02d	few clouds	summer	reading a book in an inflatable pool
02d	few clouds	summer	blowing soap bubbles across the yard
02d	few clouds	summer	playing fetch with a small, rolled-up towel
02d	few clouds	summer	making patterns with a garden hose spray
02d	few clouds	summer	taking pictures with an old-fashioned camera
02d	few clouds	summer	tossing a frisbee with a friend
02d	few clouds	summer	laying on a beach towel, sunbathing
02d	few clouds	summer	grilling mini-hotdogs on a tiny grill
02d	few clouds	summer	twirling a hula hoop around its tail
02d	few clouds	summer	floating on a lily pad in a pond
02d	few clouds	summer	listening to music on a tiny radio
02d	few clouds	summer	chasing a butterfly around
02d	few clouds	summer	swinging on a small swing tied to a cloud
02d	few clouds	summer	drawing a hopscotch grid with a stick
02d	few clouds	summer	playing a ukulele by the pond
02d	few clouds	summer	throwing a mini boomerang into the air
02d	few clouds	summer	cooling off under a sprinkler
02d	few clouds	summer	scooping ice cream into a small cone
02d	few clouds	summer	going on a bug-catching adventure with a net
02d	few clouds	summer	trying to balance on a unicycle
02d	few clouds	summer	shooting a basketball in a small hoop
02d	few clouds	summer	hopping in a potato sack race
02d	few clouds	summer	building a castle out of sand
02d	few clouds	summer	doing a handstand on the grass
02d	few clouds	summer	strumming a tiny guitar to the birds
02d	few clouds	summer	running and tugging a tiny sailboat
02d	few clouds	summer	flying a paper airplane in the wind
02d	few clouds	summer	giving a high-five to a sunflower
02d	few clouds	summer	playing beach volleyball with a tiny ball
02d	few clouds	summer	catching a fish with a small fishing rod
02d	few clouds	summer	munching on a watermelon slice
02d	few clouds	summer	polishing a pair of sunglasses
02d	few clouds	summer	doing cartwheels on the grass
02d	few clouds	summer	riding a tricycle down the path
02d	few clouds	summer	kicking a pebble along the sidewalk
02d	few clouds	summer	playing a game of marbles
02d	few clouds	summer	balancing a spinning plate on a stick
02d	few clouds	summer	doing a flip off a diving board
02d	few clouds	summer	cuts a slice of a big, summer fruit
02d	few clouds	summer	adjusting a mini telescope to gaze at the daytime sky
02d	few clouds	summer	lounging on a hammock, swaying gently in the breeze
02d	few clouds	fall	tossing a leaf up into the sky
02d	few clouds	fall	huffing clouds onto a chilly window
02d	few clouds	fall	jumping into a pile of fallen leaves
02d	few clouds	fall	drinking a cup of warm apple cider
02d	few clouds	fall	unrolling a knitted scarf
02d	few clouds	fall	juggling small apples
02d	few clouds	fall	making a leaf angel on the ground
02d	few clouds	fall	wearing a cozy sweater
02d	few clouds	fall	carving a small pumpkin
02d	few clouds	fall	eating a slice of pumpkin pie
02d	few clouds	fall	roasting marshmallows over a tiny fire
02d	few clouds	fall	catching a falling leaf
02d	few clouds	fall	mimicking a floating leaf in the breeze
02d	few clouds	fall	playing a game of conkers
02d	few clouds	fall	reading a book under a tree
02d	few clouds	fall	balancing on a fallen tree branch
02d	few clouds	fall	picking apples from a short tree
02d	few clouds	fall	drawing a sunflower with chalk
02d	few clouds	fall	hanging up Halloween decorations
02d	few clouds	fall	sipping hot soup from a bowl
02d	few clouds	fall	playing with a tiny football
02d	few clouds	fall	hopping over cracks in the sidewalk
02d	few clouds	fall	exploring the insides of a hollowed-out pumpkin
02d	few clouds	fall	making a wreath from autumn leaves
02d	few clouds	fall	pulling on a pair of mittens
02d	few clouds	fall	biting into a crisp apple
02d	few clouds	fall	smelling a hot spiced latte
02d	few clouds	fall	doing a pumpkin handstand
02d	few clouds	fall	napping under a cozy quilt
02d	few clouds	fall	warming feet next to a small heater
02d	few clouds	fall	collecting acorns in a tiny basket
02d	few clouds	fall	building a scarecrow from sticks and straw
02d	few clouds	fall	lying on back and watching the clouds
02d	few clouds	fall	planting bulbs for spring flowers
02d	few clouds	fall	making a daisy chain from fallen flowers
02d	few clouds	fall	wrapping up in a warm shawl
02d	few clouds	fall	painting a self-portrait with autumn colors
02d	few clouds	fall	collecting different types of fallen leaves
02d	few clouds	fall	chasing after a butterfly
02d	few clouds	fall	toasting a piece of bread over a fire
02d	few clouds	fall	watching a squirrel bury an acorn
02d	few clouds	fall	flying a paper airplane
02d	few clouds	fall	wrapping up in a big flannel blanket
02d	few clouds	fall	skimming pebbles across a calm pond
02d	few clouds	fall	walking through a maize maze
02d	few clouds	fall	playing a board game indoors
02d	few clouds	fall	eating candy from Trick or Treating
02d	few clouds	fall	stargazing through a small telescope
02d	few clouds	fall	holding a warm cup with both hands
02d	few clouds	fall	leaping into a pile of hay
02d	few clouds	winter	building a snowman with tiny twigs
02d	few clouds	winter	drinking a mug of warm cocoa
02d	few clouds	winter	catching a snowflake on the tip of its nose
02d	few clouds	winter	gliding on an icy pond
02d	few clouds	winter	wrapping up in a fuzzy scarf
02d	few clouds	winter	blowing on a cup of warm soup
02d	few clouds	winter	rolling snowballs with its tail
02d	few clouds	winter	admiring a single icicle
02d	few clouds	winter	trying on a warm, festive sweater
02d	few clouds	winter	hopping into a cozy knitted hat
02d	few clouds	winter	making a snow angel
02d	few clouds	winter	watching its breath in the cold air
02d	few clouds	winter	throwing a snowball
02d	few clouds	winter	holding a pinecone
02d	few clouds	winter	sliding down a small icy hill
02d	few clouds	winter	sipping from a hot water bottle
02d	few clouds	winter	balancing on a frozen branch
02d	few clouds	winter	juggling with snowballs
02d	few clouds	winter	holding a hot baked potato
02d	few clouds	winter	ice fishing in a frozen pond
02d	few clouds	winter	skating on ice using mini skates
02d	few clouds	winter	holding a wreath made of pine needles
02d	few clouds	winter	spinning around in the snowfall
02d	few clouds	winter	peeking out from a knitted sock
02d	few clouds	winter	sticking its tongue out to catch a snowflake
02d	few clouds	winter	waddling in oversized boots
02d	few clouds	winter	falling backwards into a snow pile
02d	few clouds	winter	holding a tiny lantern that casts a warm glow
02d	few clouds	winter	pulling a sled using a small rope
02d	few clouds	winter	trying to reach a snow-covered twig
02d	few clouds	winter	wiggling out of a snow mound
02d	few clouds	winter	sneezing out a cloud of frosty air
02d	few clouds	winter	carrying a tiny bundle of firewood
02d	few clouds	winter	staring curiously at a soft snowflake
02d	few clouds	winter	napping under a warm woolen blanket
02d	few clouds	winter	wearing flurry earmuffs
02d	few clouds	winter	jumping over small snow piles
02d	few clouds	winter	tunneling through a snowbank
02d	few clouds	winter	roasting a tiny marshmallow
02d	few clouds	winter	wrestling with a playful snowball
02d	few clouds	winter	tossing handfuls of fluffy snow
02d	few clouds	winter	enjoying the whiff of a hot pie
02d	few clouds	winter	looking up in awe at the floating clouds
02d	few clouds	winter	shoveling snow in a small pathway
02d	few clouds	winter	resting on a soft pile of snow
02d	few clouds	winter	holding a miniature mug of warm cider
02d	few clouds	winter	tracing patterns on a foggy window
02d	few clouds	winter	scurrying around in a tiny overcoat
02d	few clouds	winter	enjoying the warmth of a tiny space heater
02d	few clouds	winter	nibbling on a gingerbread cookie
03d	scattered clouds	spring	splashing in puddle reflections
03d	scattered clouds	spring	chasing a cloud-shaped balloon
03d	scattered clouds	spring	hopping over daisy chain lines
03d	scattered clouds	spring	sniffing a spring blossom
03d	scattered clouds	spring	trying to catch a kite
03d	scattered clouds	spring	waving to passing butterflies
03d	scattered clouds	spring	jump-roping with a rainbow
03d	scattered clouds	spring	sketching a cloud on the sidewalk
03d	scattered clouds	spring	singing to the chirping birds
03d	scattered clouds	spring	having a picnic under a tree
03d	scattered clouds	spring	swinging on a park swing
03d	scattered clouds	spring	looping through dandelion fields
03d	scattered clouds	spring	balancing on a tree stump
03d	scattered clouds	spring	cycling on a little bike
03d	scattered clouds	spring	kicking a soccer ball
03d	scattered clouds	spring	napping under a wide-brimmed hat
03d	scattered clouds	spring	munching on a fresh apple
03d	scattered clouds	spring	blowing dandelion seeds
03d	scattered clouds	spring	puzzling over a ladybug
03d	scattered clouds	spring	drinking lemonade with a straw
03d	scattered clouds	spring	unfurling a scroll of cloud drawings
03d	scattered clouds	spring	tossing a paper airplane
03d	scattered clouds	spring	fencing with a feather
03d	scattered clouds	spring	hurdling over pebbles
03d	scattered clouds	spring	cartwheeling in the grass
03d	scattered clouds	spring	doing yoga poses
03d	scattered clouds	spring	trying to balance on one foot
03d	scattered clouds	spring	doing a handstand
03d	scattered clouds	spring	watching a snail race
03d	scattered clouds	spring	climbing a small hill
03d	scattered clouds	spring	catching spring raindrops on the tongue
03d	scattered clouds	spring	juggling soft pebbles
03d	scattered clouds	spring	whittling a piece of wood
03d	scattered clouds	spring	chasing the end of a rainbow
03d	scattered clouds	spring	reading a book in the breeze
03d	scattered clouds	spring	spinning a hula hoop
03d	scattered clouds	spring	floating on a leaf in a puddle
03d	scattered clouds	spring	strumming a tiny ukulele
03d	scattered clouds	spring	tumbling down a grassy knoll
03d	scattered clouds	spring	using a leaf as a parachute
03d	scattered clouds	spring	admiring a cherry blossom petal
03d	scattered clouds	spring	hanging upside down on a twig
03d	scattered clouds	spring	playing fetch with a pine cone
03d	scattered clouds	spring	performing a cloud puppet show
03d	scattered clouds	spring	leaning against the wind
03d	scattered clouds	spring	surfing on a flat stone
03d	scattered clouds	spring	tickling a caterpillar
03d	scattered clouds	spring	rolling a snowball
03d	scattered clouds	spring	hopscotch with tree leaves
03d	scattered clouds	spring	sailing a paper boat in a brook
03d	scattered clouds	summer	sipping on a tiny iced drink
03d	scattered clouds	summer	resting in the shade of a single cloud
03d	scattered clouds	summer	hovering under a leaf to avoid the sun rays
03d	scattered clouds	summer	spinning a pinwheel gently
03d	scattered clouds	summer	blowing dandelion seeds into the wind
03d	scattered clouds	summer	splashing about in a small puddle
03d	scattered clouds	summer	lying on its back, basking in the sun
03d	scattered clouds	summer	eating a slice of fresh watermelon
03d	scattered clouds	summer	wearing sunglasses and chilling
03d	scattered clouds	summer	chasing a butterfly around
03d	scattered clouds	summer	having a picnic with a ladybug
03d	scattered clouds	summer	floating on water in a cool leaf boat
03d	scattered clouds	summer	making sand castles beside a tiny pond
03d	scattered clouds	summer	reading a book under the open sky
03d	scattered clouds	summer	building a castle made of pebbles
03d	scattered clouds	summer	tossing a frisbee to a friend
03d	scattered clouds	summer	catching fireflies in a jar
03d	scattered clouds	summer	juggling small pebbles
03d	scattered clouds	summer	swinging on a leaf swing
03d	scattered clouds	summer	sliding down a grassy hill
03d	scattered clouds	summer	biking on a small twig bike
03d	scattered clouds	summer	hopping on lily pads in a pond
03d	scattered clouds	summer	doing tricks on a small skateboard
03d	scattered clouds	summer	popping bubbles with its tail
03d	scattered clouds	summer	trying to catch its tail
03d	scattered clouds	summer	eating ice cream that's somewhat melting
03d	scattered clouds	summer	wearing a tiny straw hat
03d	scattered clouds	summer	playing catch with a bouncy ball
03d	scattered clouds	summer	riding on a small beetle like a horse
03d	scattered clouds	summer	flying a lightweight paper airplane
03d	scattered clouds	summer	napping in a bed of soft moss
03d	scattered clouds	summer	trying to climb a tall sunflower stalk
03d	scattered clouds	summer	meditating on a lily pad
03d	scattered clouds	summer	throwing tiny stones into a pond
03d	scattered clouds	summer	looking out into the distance from a tree stump
03d	scattered clouds	summer	gazing at drifting clouds through binoculars
03d	scattered clouds	summer	fishing with a tiny stick
03d	scattered clouds	summer	singing a song with a grasshopper choir
03d	scattered clouds	summer	staring curiously at a snail
03d	scattered clouds	summer	playing hide and seek with tadpoles
03d	scattered clouds	summer	kicking a tiny soccer ball
03d	scattered clouds	summer	punting a small leaf boat
03d	scattered clouds	summer	hopping on a small pogo stick
03d	scattered clouds	summer	clapping its hands to a cricket's tune
03d	scattered clouds	summer	awkwardly wearing a butterfly as a hat
03d	scattered clouds	summer	enjoying a popsicle with a squirrel
03d	scattered clouds	summer	dancing with a daisy in its hand
03d	scattered clouds	summer	plucking petals off a flower
03d	scattered clouds	summer	waving hello to a passing bird
03d	scattered clouds	fall	gathering falling leaves with a tiny rake
03d	scattered clouds	fall	warming up with a scarf wrapped around its neck
03d	scattered clouds	fall	catching scatter clouds with a small net
03d	scattered clouds	fall	jumping into a pile of dried leaves
03d	scattered clouds	fall	running towards a migrating flock of birds
03d	scattered clouds	fall	playing hide and seek among autumn trees
03d	scattered clouds	fall	roasting marshmallows on a tiny fall campfire
03d	scattered clouds	fall	sipping hot cocoa from a small mug
03d	scattered clouds	fall	floating on a leaf in a small puddle
03d	scattered clouds	fall	reading a book under the clouds
03d	scattered clouds	fall	balancing an acorn on its head
03d	scattered clouds	fall	rolling a big ball of fallen leaves
03d	scattered clouds	fall	taking a nap with a leaf as a blanket
03d	scattered clouds	fall	baking a small apple pie
03d	scattered clouds	fall	carving a tiny pumpkin
03d	scattered clouds	fall	admiring its reflection in a puddle
03d	scattered clouds	fall	tossing a small frisbee to an ant
03d	scattered clouds	fall	watching the clouds while lying on a big leaf
03d	scattered clouds	fall	walking with a leaf umbrella
03d	scattered clouds	fall	playing a small harmonica under the cloudy sky
03d	scattered clouds	fall	knitting a tiny sweater
03d	scattered clouds	fall	collecting acorns in a small basket
03d	scattered clouds	fall	dancing with the falling leaves
03d	scattered clouds	fall	kicking a ball made of dried leaves
03d	scattered clouds	fall	sketching a cloud on a small paper
03d	scattered clouds	fall	cooking soup on a mini stove
03d	scattered clouds	fall	swinging on a tree branch
03d	scattered clouds	fall	doing a headstand on a leaf
03d	scattered clouds	fall	playing a tiny violin under the scattered clouds
03d	scattered clouds	fall	hopping on the fallen leaves
03d	scattered clouds	fall	flying a mini-kite shaped like a cloud
03d	scattered clouds	fall	chasing a small squirrel
03d	scattered clouds	fall	building a fort from sticks and leaves
03d	scattered clouds	fall	laughing at its own shadow
03d	scattered clouds	fall	enjoying a small picnic with a worm friend
03d	scattered clouds	fall	sweeping leaves with a twig broom
03d	scattered clouds	fall	sitting on a leaf, daydreaming
03d	scattered clouds	fall	planting an acorn in the ground
03d	scattered clouds	fall	blowing bubbles that mimic scattered clouds
03d	scattered clouds	fall	staring at a tiny snail moving
03d	scattered clouds	fall	riding a roller-skate downhill
03d	scattered clouds	fall	trying to catch falling leaves
03d	scattered clouds	fall	playing with a small paper airplane
03d	scattered clouds	fall	making a leaf boat and floating it on a puddle
03d	scattered clouds	fall	juggling three small apples
03d	scattered clouds	fall	arranging a game of checkers with acorns and leaves
03d	scattered clouds	fall	taking a slow walk under the scattered clouds
03d	scattered clouds	fall	balancing on a fallen tree trunk
03d	scattered clouds	fall	pretending to be a cloud and floating around
03d	scattered clouds	fall	listening to the sounds of fall on a tiny radio
03d	scattered clouds	winter	trying to catch a snowflake on its tongue
03d	scattered clouds	winter	wearing a knitted scarf while shivering slightly
03d	scattered clouds	winter	making a tiny snowman
03d	scattered clouds	winter	slipping on an icy patch
03d	scattered clouds	winter	curling up with a good book
03d	scattered clouds	winter	warming up by a small fire
03d	scattered clouds	winter	attempting to ice skate
03d	scattered clouds	winter	enjoying a cup of hot cocoa
03d	scattered clouds	winter	building an igloo
03d	scattered clouds	winter	blowing a cold steamy breath
03d	scattered clouds	winter	holding a snowball ready for a snowball fight
03d	scattered clouds	winter	sleeping under a heat lamp
03d	scattered clouds	winter	wearing a small Santa hat
03d	scattered clouds	winter	looking at their breath fog up in the cold
03d	scattered clouds	winter	sliding down a hill on a small saucer
03d	scattered clouds	winter	carving a snowflake pattern in the snow with its tail
03d	scattered clouds	winter	trying to catch icicles hanging from a branch
03d	scattered clouds	winter	wrapping itself up in a cozy blanket
03d	scattered clouds	winter	staring curiously at a squirrel collecting nuts
03d	scattered clouds	winter	making snow angels
03d	scattered clouds	winter	stretching out on a fluffy rug
03d	scattered clouds	winter	hanging a single ornament on a tiny Christmas tree
03d	scattered clouds	winter	throwing birdseed for the winter birds
03d	scattered clouds	winter	snuggling in a warm sock
03d	scattered clouds	winter	shaking off snowflakes from its body
03d	scattered clouds	winter	wearing ear muffs over its fringed gills
03d	scattered clouds	winter	sipping from a tiny cup of soup
